CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600X 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,16:42:02 - July 02 - 2025

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
16:48:22 07/02/25,73,73,73,73,73,73,,,71,83,10,3668.13,,71,83,8,3668.13,,71,83,7,3713.05,,71,83,16,3713.05,,71,83,3,3713.05,,71,83,7,3713.05,49.8,
16:48:32 07/02/25,73,73,73,73,73,73,,,71,83,19,3668.13,,71,83,13,3668.13,,71,83,5,3668.13,,71,83,13,3668.13,,71,83,7,3668.13,,71,83,14,3668.13,47.1,
16:48:42 07/02/25,71,71,71,71,71,71,,,71,83,10,3668.13,,71,83,5,3668.13,,71,83,4,3668.13,,71,83,9,3668.13,,71,83,8,3668.13,,71,83,6,3668.13,46.2,
16:48:52 07/02/25,76,76,76,76,76,76,,,70,83,52,4566.45,,70,83,35,4566.45,,70,83,22,4566.45,,70,83,41,4566.45,,70,83,32,4566.45,,70,83,25,4566.45,69.1,
16:49:02 07/02/25,74,74,74,74,74,74,,,70,83,23,4641.31,,70,83,19,4641.31,,70,83,11,4641.31,,70,83,25,4641.31,,70,83,12,3713.05,,70,83,11,3713.05,53.5,
16:49:12 07/02/25,73,73,73,73,73,73,,,70,83,23,4641.31,,70,83,12,4641.31,,70,83,9,4641.31,,70,83,20,4641.31,,70,83,12,3713.05,,70,83,10,3713.05,52.8,
16:49:22 07/02/25,73,73,73,73,73,73,,,70,83,14,4616.36,,70,83,14,4616.36,,70,83,7,3693.09,,70,83,21,3693.09,,70,83,8,3693.09,,70,83,7,3693.09,54.3,
16:49:32 07/02/25,73,73,73,73,73,73,,,70,83,19,4641.31,,70,83,8,4641.31,,70,83,8,3713.05,,70,83,15,3713.05,,70,83,7,3713.05,,70,83,8,3713.05,52.9,
16:49:42 07/02/25,74,74,74,74,74,74,,,70,83,16,3668.13,,70,83,14,3668.13,,70,83,8,3668.13,,70,83,17,3668.13,,70,83,12,3668.13,,70,83,7,3668.13,54.3,
16:49:52 07/02/25,74,74,74,74,74,74,,,70,83,19,4641.31,,70,83,14,4616.36,,70,83,7,4616.36,,70,83,16,4616.36,,70,83,9,4616.36,,70,83,12,4616.36,58.4,
16:50:02 07/02/25,75,75,75,75,75,75,,,70,83,8,4641.31,,70,83,6,4641.31,,70,83,2,4641.31,,70,83,17,4641.31,,70,83,3,4641.31,,70,83,5,4641.31,51.7,
16:50:12 07/02/25,74,74,74,74,74,74,,,70,83,18,3713.05,,70,83,10,4641.31,,70,83,4,3713.05,,70,83,24,3713.05,,70,83,10,3713.05,,70,83,6,3713.05,53.9,
16:50:22 07/02/25,74,74,74,74,74,74,,,70,83,16,4641.31,,70,83,8,3668.13,,70,83,5,3668.13,,70,83,16,3668.13,,70,83,6,3668.13,,70,83,8,3668.13,51.9,
16:50:32 07/02/25,74,74,74,74,74,74,,,70,83,10,3713.05,,70,83,7,3713.05,,70,83,3,4641.31,,70,83,17,4641.31,,70,83,6,3713.05,,70,83,5,3713.05,50.0,
16:50:42 07/02/25,74,74,74,74,74,74,,,70,83,12,3668.13,,70,83,5,3668.13,,70,83,4,3668.13,,70,83,16,3668.13,,70,83,5,3668.13,,70,83,5,3668.13,53.5,
16:50:52 07/02/25,75,75,75,75,75,75,,,70,83,17,4591.41,,70,83,18,4591.41,,70,83,9,4591.41,,70,83,16,4591.41,,70,83,10,4591.41,,70,83,8,4591.41,56.7,
16:51:02 07/02/25,75,75,75,75,75,75,,,70,83,16,4616.36,,70,83,10,4616.36,,70,83,7,4591.41,,70,83,22,4591.41,,70,83,8,3673.12,,70,83,11,3673.12,53.2,
16:51:12 07/02/25,75,75,75,75,75,75,,,70,83,15,4616.36,,70,83,10,4616.36,,70,83,4,4616.36,,70,83,14,4616.36,,70,83,8,4616.36,,70,83,5,4616.36,53.8,
16:51:22 07/02/25,75,75,75,75,75,75,,,70,83,20,4641.31,,70,83,14,4641.31,,70,83,9,3713.05,,70,83,15,3713.05,,70,83,12,3713.05,,70,83,10,3713.05,54.8,
16:51:32 07/02/25,77,77,77,77,77,77,,,70,83,17,4641.31,,70,83,6,4641.31,,70,83,3,3713.05,,70,83,19,3713.05,,70,83,6,3713.05,,70,83,3,3713.05,51.1,
16:51:42 07/02/25,86,86,86,86,86,86,,,70,87,36,4566.45,,70,87,23,4566.45,,70,87,12,3653.16,,70,87,35,3653.16,,70,87,15,3653.16,,70,87,10,3613.24,65.2,
16:51:52 07/02/25,86,86,86,86,86,86,,,70,87,41,4441.69,,70,87,28,4441.69,,70,87,25,4441.69,,70,87,37,4441.69,,70,87,28,4441.69,,70,87,29,4441.69,70.4,
16:52:02 07/02/25,87,87,87,87,87,87,,,70,87,31,3573.31,,70,87,26,3573.31,,70,87,17,3573.31,,70,87,38,3573.31,,70,87,22,3573.31,,70,87,19,4466.64,69.0,
16:52:12 07/02/25,85,85,85,85,85,85,,,70,87,26,3573.31,,70,87,21,3573.31,,70,87,14,3573.31,,70,87,29,3573.31,,70,87,26,4491.59,,70,87,28,4491.59,65.9,
