CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600X 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,11:14:18 - June 28 - 2025

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
11:20:48 06/28/25,72,72,72,72,72,72,,,58,82,21,4641.29,,58,82,11,4641.29,,58,82,4,4641.29,,58,82,18,4641.29,,58,82,3,4641.29,,58,82,7,4641.29,49.2,
11:20:58 06/28/25,74,74,74,74,74,74,,,58,82,10,4641.29,,58,82,5,4641.29,,58,82,2,4641.29,,58,82,11,4641.29,,58,82,6,3713.03,,58,82,4,3713.03,37.1,
11:21:08 06/28/25,72,72,72,72,72,72,,,58,82,12,4641.29,,58,82,4,4641.29,,58,82,2,3713.03,,58,82,10,3713.03,,58,82,4,3713.03,,58,82,6,3713.03,37.3,
11:21:18 06/28/25,72,72,72,72,72,72,,,58,82,6,4641.29,,58,82,1,4641.29,,58,82,3,3713.03,,58,82,7,3713.03,,58,82,2,3713.03,,58,82,6,3713.03,38.8,
11:21:28 06/28/25,63,63,63,63,63,63,,,58,82,7,3653.14,,58,82,3,3653.14,,58,82,4,3653.14,,58,82,5,3653.14,,58,82,1,3653.14,,58,82,5,3653.14,28.5,
11:21:38 06/28/25,61,61,61,61,61,61,,,58,82,3,3593.25,,58,82,5,3593.25,,58,82,0,3593.25,,58,82,3,3593.25,,58,82,1,3593.25,,58,82,1,3593.25,33.6,
11:21:48 06/28/25,61,61,61,61,61,61,,,58,82,2,3593.25,,58,82,1,3593.25,,58,82,1,3593.25,,58,82,2,3593.25,,58,82,1,3593.25,,58,82,3,3593.25,31.9,
11:21:58 06/28/25,69,69,69,69,69,69,,,58,82,3,4641.29,,58,82,1,4641.29,,58,82,0,3713.03,,58,82,4,3713.03,,58,82,1,3713.03,,58,82,2,3713.03,29.3,
11:22:08 06/28/25,65,65,65,65,65,65,,,58,82,16,4641.29,,58,82,7,4641.29,,58,82,2,4641.29,,58,82,14,4641.29,,58,82,5,3713.03,,58,82,4,3713.03,34.6,
11:22:18 06/28/25,71,71,71,71,71,71,,,58,82,14,3593.25,,58,82,6,3593.25,,58,82,6,3593.25,,58,82,13,3713.03,,58,82,5,3713.03,,58,82,6,3713.03,36.8,
11:22:28 06/28/25,65,65,65,65,65,65,,,58,82,11,3593.25,,58,82,8,3593.25,,58,82,2,3593.25,,58,82,7,3593.25,,58,82,6,3593.25,,58,82,4,3593.25,31.8,
11:22:38 06/28/25,67,67,67,67,67,67,,,58,82,27,4641.29,,58,82,13,4641.29,,58,82,8,4641.29,,58,82,19,4641.29,,58,82,12,4641.29,,58,82,6,4641.29,46.3,
11:22:48 06/28/25,66,66,66,66,66,66,,,58,82,5,3593.25,,58,82,4,3593.25,,58,82,0,3593.25,,58,82,5,3593.25,,58,82,3,3593.25,,58,82,2,3713.03,34.7,
11:22:58 06/28/25,63,63,63,63,63,63,,,58,82,10,4641.29,,58,82,4,4641.29,,58,82,2,3713.03,,58,82,8,3713.03,,58,82,3,3713.03,,58,82,5,3713.03,30.7,
11:23:08 06/28/25,78,78,78,78,78,78,,,58,82,18,4391.75,,58,82,10,4391.75,,58,82,6,4391.75,,58,82,22,4391.75,,58,82,10,4391.75,,58,82,11,4391.75,50.2,
11:23:18 06/28/25,66,66,66,66,66,66,,,58,82,8,3593.25,,58,82,1,3593.25,,58,82,1,3593.25,,58,82,0,3593.25,,58,82,2,3593.25,,58,82,0,3593.25,30.2,
11:23:28 06/28/25,62,62,62,62,62,62,,,58,82,4,3593.25,,58,82,3,3593.25,,58,82,0,3593.25,,58,82,4,3593.25,,58,82,1,3713.03,,58,82,2,3713.03,30.8,
11:23:38 06/28/25,64,64,64,64,64,64,,,58,82,12,4641.29,,58,82,4,4641.29,,58,82,1,4641.29,,58,82,8,4641.29,,58,82,2,3713.03,,58,82,4,3713.03,31.7,
11:23:48 06/28/25,61,61,61,61,61,61,,,58,82,5,3593.25,,58,82,2,3593.25,,58,82,0,3593.25,,58,82,2,3593.25,,58,82,0,3593.25,,58,82,2,3593.25,31.1,
11:23:58 06/28/25,62,62,62,62,62,62,,,58,82,10,3593.25,,58,82,7,3593.25,,58,82,3,3593.25,,58,82,12,3593.25,,58,82,3,3593.25,,58,82,8,3593.25,34.9,
11:24:08 06/28/25,67,67,67,67,67,67,,,58,82,9,4641.29,,58,82,3,4641.29,,58,82,2,4641.29,,58,82,6,4641.29,,58,82,2,4641.29,,58,82,9,4641.29,38.8,
11:24:18 06/28/25,77,77,77,77,77,77,,,58,82,11,4641.29,,58,82,9,4641.29,,58,82,1,4641.29,,58,82,32,4641.29,,58,82,4,4641.29,,58,82,2,4641.29,52.2,
11:24:28 06/28/25,65,65,65,65,65,65,,,58,82,5,3713.03,,58,82,1,3713.03,,58,82,1,3713.03,,58,82,6,3713.03,,58,82,2,3713.03,,58,82,1,3713.03,31.9,
11:24:38 06/28/25,69,69,69,69,69,69,,,58,82,26,4641.29,,58,82,19,4641.29,,58,82,3,4641.29,,58,82,16,4641.29,,58,82,10,3713.03,,58,82,7,3713.03,58.4,
11:24:48 06/28/25,64,64,64,64,64,64,,,58,82,4,3593.25,,58,82,3,3593.25,,58,82,0,3593.25,,58,82,4,3593.25,,58,82,1,3593.25,,58,82,3,3593.25,31.2,
11:24:58 06/28/25,74,74,74,74,74,74,,,58,82,41,4641.29,,58,82,12,4641.29,,58,82,6,3713.03,,58,82,15,3713.03,,58,82,4,3713.03,,58,82,5,3713.03,51.1,
11:25:08 06/28/25,75,75,75,75,75,75,,,58,82,3,3593.25,,58,82,3,3593.25,,58,82,1,3593.25,,58,82,2,3593.25,,58,82,1,2874.60,,58,82,5,3713.03,30.1,
11:25:18 06/28/25,66,66,66,66,66,66,,,58,82,12,4641.29,,58,82,7,3713.03,,58,82,2,3713.03,,58,82,11,3713.03,,58,82,1,3713.03,,58,82,5,3713.03,41.8,
11:25:28 06/28/25,68,68,68,68,68,68,,,58,82,23,3593.25,,58,82,17,3593.25,,58,82,7,3593.25,,58,82,23,3593.25,,58,82,14,3593.25,,58,82,10,3593.25,51.5,
11:25:38 06/28/25,67,67,67,67,67,67,,,58,82,5,3593.25,,58,82,1,3593.25,,58,82,0,3593.25,,58,82,2,3593.25,,58,82,1,3593.25,,58,82,4,3593.25,34.6,
11:25:48 06/28/25,69,69,69,69,69,69,,,58,82,27,4541.47,,58,82,17,4541.47,,58,82,15,4541.47,,58,82,23,4541.47,,58,82,19,4541.47,,58,82,13,4541.47,48.2,
