CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600X 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,00:48:52 - June 28 - 2025

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
00:55:04 06/28/25,82,82,82,82,82,82,,,57,82,19,4491.49,,57,82,21,4491.49,,57,82,3,4491.49,,57,82,29,4491.49,,57,82,8,4491.49,,57,82,52,4491.49,66.9,
00:55:14 06/28/25,79,79,79,79,79,79,,,57,83,28,4516.44,,57,83,10,4516.44,,57,83,7,3613.16,,57,83,16,4516.44,,57,83,5,4516.44,,57,83,48,4516.44,55.4,
00:55:24 06/28/25,75,75,75,75,75,75,,,57,83,14,4641.21,,57,83,6,4641.21,,57,83,2,3712.97,,57,83,6,3712.97,,57,83,4,3712.97,,57,83,19,3712.97,48.6,
00:55:34 06/28/25,82,82,82,82,82,82,,,57,83,41,4541.40,,57,83,16,4541.40,,57,83,12,3633.12,,57,83,41,3633.12,,57,83,13,3633.12,,57,83,27,3633.12,65.4,
00:55:44 06/28/25,79,79,79,79,79,79,,,57,83,19,4566.35,,57,83,3,4566.35,,57,83,1,3653.08,,57,83,16,3653.08,,57,83,1,3712.97,,57,83,20,3712.97,52.1,
00:55:54 06/28/25,65,65,65,65,65,65,,,57,83,5,3653.08,,57,83,1,3653.08,,57,83,1,3653.08,,57,83,4,3653.08,,57,83,1,3653.08,,57,83,1,3633.12,27.9,
00:56:04 06/28/25,77,77,77,77,77,77,,,57,83,40,4466.54,,57,83,20,4466.54,,57,83,11,4466.54,,57,83,42,4466.54,,57,83,20,4466.54,,57,83,17,4416.63,50.1,
00:56:14 06/28/25,85,85,85,85,85,85,,,57,85,43,4092.25,,57,85,38,4092.25,,57,85,41,4092.25,,57,85,46,4092.25,,57,85,41,4092.25,,57,85,73,4092.25,67.7,
00:56:24 06/28/25,78,78,78,78,78,78,,,57,85,20,4516.44,,57,85,22,4516.44,,57,85,7,4516.44,,57,85,29,4516.44,,57,85,8,3613.16,,57,85,50,3613.16,61.9,
00:56:34 06/28/25,79,79,79,79,79,79,,,57,85,16,4491.49,,57,85,14,4491.49,,57,85,7,4516.44,,57,85,30,4516.44,,57,85,9,4516.44,,57,85,29,4516.44,62.5,
00:56:44 06/28/25,81,81,81,81,81,81,,,57,85,32,4491.49,,57,85,23,4491.49,,57,85,9,3593.19,,57,85,32,3593.19,,57,85,17,3593.19,,57,85,62,3593.19,68.4,
00:56:54 06/28/25,77,77,77,77,77,77,,,57,85,6,4491.49,,57,85,2,4491.49,,57,85,0,3593.19,,57,85,7,3593.19,,57,85,1,3593.19,,57,85,14,3593.19,37.0,
00:57:04 06/28/25,72,72,72,72,72,72,,,57,85,7,4641.21,,57,85,5,3712.97,,57,85,1,3712.97,,57,85,3,3712.97,,57,85,3,3712.97,,57,85,5,3712.97,40.7,
00:57:14 06/28/25,83,83,83,83,83,83,,,57,85,18,3593.19,,57,85,2,3593.19,,57,85,1,3593.19,,57,85,32,3593.19,,57,85,5,3593.19,,57,85,32,3593.19,53.0,
00:57:24 06/28/25,77,77,77,77,77,77,,,57,86,1,3593.19,,57,86,0,3593.19,,57,86,0,3593.19,,57,86,2,3593.19,,57,86,1,3593.19,,57,86,5,3593.19,31.4,
00:57:34 06/28/25,77,77,77,77,77,77,,,57,86,54,4566.35,,57,86,37,4566.35,,57,86,32,3653.08,,57,86,48,3653.08,,57,86,37,4566.35,,57,86,31,4566.35,68.6,
00:57:44 06/28/25,68,68,68,68,68,68,,,57,86,6,3593.19,,57,86,2,3593.19,,57,86,1,3593.19,,57,86,5,3593.19,,57,86,2,3593.19,,57,86,2,3593.19,30.8,
00:57:54 06/28/25,77,77,77,77,77,77,,,57,86,41,4566.35,,57,86,17,4566.35,,57,86,17,4566.35,,57,86,34,4566.35,,57,86,21,3653.08,,57,86,26,3653.08,62.1,
00:58:04 06/28/25,80,80,80,80,80,80,,,57,86,16,4591.30,,57,86,9,4591.30,,57,86,2,3673.04,,57,86,39,4591.30,,57,86,3,4591.30,,57,86,1,4591.30,54.6,
00:58:14 06/28/25,78,78,78,78,78,78,,,57,86,39,4641.21,,57,86,9,4641.21,,57,86,2,3712.97,,57,86,8,3712.97,,57,86,6,3712.97,,57,86,3,3712.97,51.6,
00:58:24 06/28/25,78,78,78,78,78,78,,,57,86,10,3712.97,,57,86,2,3712.97,,57,86,0,3712.97,,57,86,35,3712.97,,57,86,0,3712.97,,57,86,2,3712.97,49.0,
00:58:34 06/28/25,80,80,80,80,80,80,,,57,86,36,4641.21,,57,86,3,4641.21,,57,86,0,4641.21,,57,86,16,4641.21,,57,86,1,3712.97,,57,86,7,3712.97,52.7,
00:58:44 06/28/25,67,67,67,67,67,67,,,57,86,2,3593.19,,57,86,1,3593.19,,57,86,2,3593.19,,57,86,4,4641.21,,57,86,1,3712.97,,57,86,3,3712.97,29.4,
00:58:54 06/28/25,79,79,79,79,79,79,,,57,86,27,4541.40,,57,86,18,4541.40,,57,86,8,4541.40,,57,86,32,4541.40,,57,86,30,3633.12,,57,86,2,3633.12,65.7,
00:59:04 06/28/25,78,78,78,78,78,78,,,57,86,20,4641.21,,57,86,5,4641.21,,57,86,5,3712.97,,57,86,28,3712.97,,57,86,3,3712.97,,57,86,5,3712.97,49.8,
00:59:14 06/28/25,77,77,77,77,77,77,,,57,86,50,3593.19,,57,86,32,3593.19,,57,86,29,3593.19,,57,86,44,3593.19,,57,86,33,3593.19,,57,86,22,3593.19,66.0,
00:59:24 06/28/25,65,65,65,65,65,65,,,57,86,9,3593.19,,57,86,3,3593.19,,57,86,1,3593.19,,57,86,3,3593.19,,57,86,5,3712.97,,57,86,5,3712.97,32.3,
00:59:34 06/28/25,71,71,71,71,71,71,,,57,86,41,4541.40,,57,86,37,4541.40,,57,86,31,4541.40,,57,86,43,4541.40,,57,86,33,4541.40,,57,86,27,4541.40,60.6,
00:59:44 06/28/25,69,69,69,69,69,69,,,57,86,15,3593.19,,57,86,10,3593.19,,57,86,5,3593.19,,57,86,16,3593.19,,57,86,4,3593.19,,57,86,4,3593.19,49.0,
00:59:54 06/28/25,73,73,73,73,73,73,,,57,86,24,4641.21,,57,86,4,4641.21,,57,86,3,3712.97,,57,86,23,3712.97,,57,86,4,3712.97,,57,86,5,3712.97,47.2,
01:00:04 06/28/25,70,70,70,70,70,70,,,57,86,19,4591.30,,57,86,11,4591.30,,57,86,5,4591.30,,57,86,21,4591.30,,57,86,8,4591.30,,57,86,5,4591.30,53.1,
01:00:14 06/28/25,67,67,67,67,67,67,,,57,86,5,3712.97,,57,86,3,3712.97,,57,86,1,3712.97,,57,86,8,3712.97,,57,86,1,3712.97,,57,86,3,3712.97,33.5,
01:00:24 06/28/25,69,69,69,69,69,69,,,57,86,7,3593.19,,57,86,2,3593.19,,57,86,2,3593.19,,57,86,24,3593.19,,57,86,1,3712.97,,57,86,5,3712.97,49.9,
01:00:34 06/28/25,76,76,76,76,76,76,,,57,86,35,4491.49,,57,86,5,4491.49,,57,86,2,4491.49,,57,86,14,4491.49,,57,86,3,3593.19,,57,86,9,3593.19,51.5,
01:00:44 06/28/25,79,79,79,79,79,79,,,57,86,29,4641.21,,57,86,7,4641.21,,57,86,2,3712.97,,57,86,34,3712.97,,57,86,1,3712.97,,57,86,3,3712.97,51.4,
01:00:54 06/28/25,78,78,78,78,78,78,,,57,86,25,4641.21,,57,86,4,4641.21,,57,86,0,3712.97,,57,86,26,3712.97,,57,86,0,3712.97,,57,86,1,3712.97,47.8,
01:01:04 06/28/25,79,79,79,79,79,79,,,57,86,22,4591.30,,57,86,4,4591.30,,57,86,2,4591.30,,57,86,36,4591.30,,57,86,1,3673.04,,57,86,2,3673.04,50.2,
01:01:14 06/28/25,77,77,77,77,77,77,,,57,86,14,4641.21,,57,86,9,4641.21,,57,86,2,3712.97,,57,86,37,3712.97,,57,86,3,3712.97,,57,86,1,3712.97,48.4,
01:01:24 06/28/25,78,78,78,78,78,78,,,57,86,19,3712.97,,57,86,5,3712.97,,57,86,1,3712.97,,57,86,30,3712.97,,57,86,4,3673.04,,57,86,3,3673.04,50.9,
01:01:34 06/28/25,78,78,78,78,78,78,,,57,86,26,4641.21,,57,86,4,4641.21,,57,86,1,3712.97,,57,86,23,4641.21,,57,86,9,4641.21,,57,86,2,4641.21,47.7,
01:01:44 06/28/25,78,78,78,78,78,78,,,57,86,16,3693.00,,57,86,5,3693.00,,57,86,4,4616.25,,57,86,32,3712.97,,57,86,8,3712.97,,57,86,1,3712.97,49.4,
