CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600X 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,09:40:20 - July 12 - 2025

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
09:58:30 07/12/25,69,69,69,69,69,69,,,63,85,12,4641.26,,63,85,7,4641.26,,63,85,5,3713.01,,63,85,20,3713.01,,63,85,7,3713.01,,63,85,8,3713.01,47.1,
09:58:40 07/12/25,68,68,68,68,68,68,,,63,85,13,3668.09,,63,85,6,3668.09,,63,85,3,3668.09,,63,85,11,3668.09,,63,85,6,3668.09,,63,85,4,3668.09,43.4,
09:58:50 07/12/25,68,68,68,68,68,68,,,63,85,6,3668.09,,63,85,9,3668.09,,63,85,6,3668.09,,63,85,13,3668.09,,63,85,6,3668.09,,63,85,7,3668.09,41.6,
09:59:00 07/12/25,69,69,69,69,69,69,,,63,85,15,4641.26,,63,85,13,4641.26,,63,85,11,4641.26,,63,85,22,4641.26,,63,85,11,4641.26,,63,85,11,4641.26,44.8,
09:59:10 07/12/25,68,68,68,68,68,68,,,63,85,13,4641.26,,63,85,4,3713.01,,63,85,4,4641.26,,63,85,9,4641.26,,63,85,5,3713.01,,63,85,6,3713.01,42.4,
09:59:20 07/12/25,67,67,67,67,67,67,,,63,85,8,3713.01,,63,85,4,3713.01,,63,85,1,3713.01,,63,85,9,3713.01,,63,85,4,3713.01,,63,85,4,3713.01,39.6,
09:59:30 07/12/25,66,66,66,66,66,66,,,63,85,13,3668.09,,63,85,5,3668.09,,63,85,2,3668.09,,63,85,5,3668.09,,63,85,4,3668.09,,63,85,4,3668.09,41.6,
09:59:40 07/12/25,68,68,68,68,68,68,,,63,85,16,3668.09,,63,85,11,3668.09,,63,85,6,3668.09,,63,85,17,3668.09,,63,85,11,3668.09,,63,85,10,3668.09,42.9,
09:59:50 07/12/25,69,69,69,69,69,69,,,63,85,16,4641.26,,63,85,10,4641.26,,63,85,7,4641.26,,63,85,21,4641.26,,63,85,6,4641.26,,63,85,8,4641.26,46.3,
10:00:00 07/12/25,69,69,69,69,69,69,,,63,85,11,3668.09,,63,85,12,3668.09,,63,85,11,3668.09,,63,85,21,3668.09,,63,85,8,3668.09,,63,85,10,3668.09,44.9,
